Matricula;TotalCreditos;TotalDebitosObrigatorios;TotalDebitosFacultativos
1550006700;1655.42;184.15;267.38
1550007243;998.00;61.00;234.04
1550008142;2582.38;197.74;846.64
1550008673;998.00;61.00;0.00
1550009440;1667.87;185.54;510.25
1550031756;1105.61;122.61;264.00
1550032795;999.20;110.65;308.55
1550034798;998.00;60.99;203.01
1550034909;1996.40;220.22;354.01
1550035581;998.00;61.00;156.10
1550036170;1300.56;144.68;516.47
1550036669;998.00;61.00;0.00
1550037142;1132.44;59.75;296.78
1550037517;1251.66;105.71;180.95
1550038343;2797.49;253.68;778.05
1550038661;1608.25;83.98;520.27
1550039595;1518.27;141.39;124.88
1550041107;3048.00;248.40;878.65
1363360415;981.00;44.00;303.30
1363361381;998.00;61.00;217.54
1363363007;1491.01;165.87;218.83
1363366448;981.00;44.00;306.55
1363367819;2752.87;251.80;626.50
1363379647;4098.95;444.86;621.49
1363381668;1951.74;181.22;191.72
1363383504;1531.07;170.32;299.59
1363383822;1447.92;1326.39;11.80
1363384543;981.00;44.00;232.08
1363385060;998.00;61.00;301.51
1363387518;998.00;61.00;262.64
1721065005;1134.31;126.19;300.90
1721068020;1061.41;118.08;328.85
1721068187;998.00;61.00;308.00
1721068330;998.00;61.00;0.00
1721068608;1643.99;152.99;0.00
1721068780;2416.19;237.76;665.12
1721069000;978.92;41.92;246.00
1721069108;3490.74;549.36;0.00
1721069159;1693.09;188.35;308.38
1721069361;978.92;41.92;307.90
1721069680;1108.77;123.35;294.38
1721070840;3910.87;144.76;1149.28
1721071218;998.00;60.64;302.36
1721071390;1354.49;150.49;0.00
1721071480;1026.77;113.77;0.00
1721071781;1914.47;179.43;520.00
1721071846;1316.33;145.94;30.39
1721071897;1052.25;98.35;333.75
1721071960;981.00;44.00;236.30
1721072311;1408.36;130.76;344.32
1721072656;2293.77;231.99;11.78
1721072745;1022.67;113.67;0.00
1721073784;998.00;61.00;0.00
1721073989;2978.02;250.66;946.36
1721074241;1075.35;597.49;128.49
1721074314;3251.54;239.90;1112.64
1721074640;998.00;61.00;236.00
1363409961;981.00;44.00;263.90
1363411141;998.00;61.00;325.00
1363411559;1427.58;133.44;348.88
1363411770;1336.51;148.67;346.78
1363412911;1724.77;191.87;413.16
1363413225;998.00;60.88;270.12
1363413900;3230.09;181.78;984.37
1363414108;4153.87;203.25;1319.38
1363414140;2116.22;187.50;630.73
1275066469;4503.98;4503.98;0.00
1275067244;998.00;61.00;213.92
1275067902;1564.43;147.38;430.98
1275067910;1738.33;193.38;292.57
1275067953;998.00;61.00;0.00
1275067996;2159.24;188.48;536.20
1275069310;4658.41;468.23;1081.24
1275070180;1720.83;190.83;0.00
1275071268;2461.55;92.51;204.04
1275072086;998.00;61.00;0.00
1275072442;3528.88;392.58;795.83
1275072604;998.00;61.00;302.21
1275072620;2410.55;237.51;633.42
1275073015;986.88;49.11;214.77
1275073554;969.54;32.44;295.10
0000094021;981.00;44.00;235.56
0000100730;998.00;61.00;0.00
